"Name deutsch","Name englisch","URL der Einrichtung","Einrichtungsart","DFG Instituts ID","GRID ID","span"
"AG CAA e.V. - Computer Anwendungen und Quantitative Methoden in der Archäologie",,"ag-caa.de/","Sonst. Forschg",460487572,,
"AKAD University","AKAD University","www.akad.de/","Weitere HS/FS",971794,,
"AKAD University","AKAD University","www.akad.de/","Weitere HS/FS",971794,,"Fachbereich Digitalisierung und Innovation"
"AKAD University","AKAD University","www.akad.de/","Weitere HS/FS",971794,,"Fachbereich Kommunikation und Kultur"
"AKAD University","AKAD University","www.akad.de/","Weitere HS/FS",971794,,"Fachbereich Technik und Informatik"
"AKAD University","AKAD University","www.akad.de/","Weitere HS/FS",971794,,"Fachbereich Wirtschaft und Management"
"AKAD University","AKAD University","www.akad.de/","Weitere HS/FS",971794,,"Prüfungszentrum Leipzig"
"ALDEBARAN Marine Research & Broadcast","ALDEBARAN Marine Research & Broadcast","www.aldebaran.org/","Sonst. Forschg",216063547,,
"AMO GmbH  - Gesellschaft für Angewandte Mikro- und Optoelektronik mbH","AMO - Applied Micro- and Optoelectronics Company","www.amo.de","Landesforschung",29579,,
"AMO GmbH  - Gesellschaft für Angewandte Mikro- und Optoelektronik mbH","AMO - Applied Micro- and Optoelectronics Company","www.amo.de","Landesforschung",29579,,"Advanced Microelectronic Center Aachen (AMICA)"
"APOLLON Hochschule der Gesundheitswirtschaft Bremen","APOLLON University of Applied Sciences for Health Care Management Bremen","www.apollon-hochschule.de/","Weitere HS/FS",198800865,"grid.470062.7",
"ARENA2036 e.V.","ARENA2036 e.V.","www.arena2036.de","Sonst. Forschg",393435830,,
"ARL - Akademie für Raumentwicklung in der Leibniz-Gemeinschaft","ARL – Academy for Territorial Development in the Leibniz Association","www.arl-net.de/","WGL",12993,"grid.470175.0",
"AT-Verband zur Förderung angepasster, sozial- und umweltverträglicher Technologien e.V.","AT-Verband for an advanced socially and environmentally sound technology practice","www.at-verband.de","Sonst. Forschg",394411109,,
"ATB Institut für angewandte Systemtechnik Bremen GmbH","ATB Institute for Applied Systems Technology Bremen GmbH","www.atb-bremen.de","Landesforschung",29570,,
"AUC - Akademie der Unfallchirurgie GmbH","AUC - Akademie der Unfallchirurgie GmbH","www.auc-online.de/de/startseite_auc.html","Sonst. Forschg",288964659,,
"AWMF-Geschäftsstelle - Öffentlichkeitsarbeit","Association of the Scientific Medical Societies of Germany (AWMF) - Public Relations","www.awmf.org/awmf-online-das-portal-der-wissenschaftlichen-medizin/awmf-aktuell.html","Sonst. Forschg",216081428,,
"AWT - Arbeitsgemeinschaft Wärmebehandlung und Werkstofftechnik e.V.","Association for Materials and Heat Treatment","www.awt-online.org/","Sonst. Forschg",56010064,,
"Access e.V.","Access e.V.","www.access.rwth-aachen.de","Sonst. Forschg",10613,,
"Access e.V.","Access e.V.","www.access.rwth-aachen.de","Sonst. Forschg",10613,,"Access TechCenter"
"Aedificat Institut Freiburg","Aedificat Institute Freiburg","aedificat.de/institute/institute.htm","Sonst. Forschg",981700,,
"AgroJector UG","AgroJector","www.agrojector.com","Sonst. Forschg",299657657,,
"Aisthesis im Elitenetzwerk Bayern","Aisthesis in the Elite Network of Bavaria","www.aisthesis-master.de/","Sonst. Forschg",278593186,,
"Akademie Schloss Solitude","Akademie Schloss Solitude","www.akademie-solitude.de/de/","Sonst. Forschg",981911,,
"Akademie der Bildenden Künste München","Munich Academy of Fine Arts","www.adbk.de/","Musik/Kunst-HS",12917,"grid.466255.6",
"Akademie der Bildenden Künste München","Munich Academy of Fine Arts","www.adbk.de/","Musik/Kunst-HS",12917,"grid.466255.6","Lehrstuhl für Kunstgeschichte"
"Akademie der Bildenden Künste München","Munich Academy of Fine Arts","www.adbk.de/","Musik/Kunst-HS",12917,"grid.466255.6","Lehrstuhl für Neue Medien (Theorie)"
"Akademie der Bildenden Künste München","Munich Academy of Fine Arts","www.adbk.de/","Musik/Kunst-HS",12917,"grid.466255.6","Lehrstuhl für Philosophie"
"Akademie der Bildenden Künste Nürnberg","Nuremberg Academy of Fine Arts","www.adbk-nuernberg.de","Musik/Kunst-HS",13108,"grid.465820.d",
"Akademie der Bildenden Künste Nürnberg","Nuremberg Academy of Fine Arts","www.adbk-nuernberg.de","Musik/Kunst-HS",13108,"grid.465820.d","MediaLab, AdBK"
"Akademie der Bildenden Künste Nürnberg","Nuremberg Academy of Fine Arts","www.adbk-nuernberg.de","Musik/Kunst-HS",13108,"grid.465820.d","Professur für Freie Malerei und Kunsterziehung (Prof. Munding)"
"Akademie der Bildenden Künste Nürnberg","Nuremberg Academy of Fine Arts","www.adbk-nuernberg.de","Musik/Kunst-HS",13108,"grid.465820.d","Studiengang Grafik-Design/Visuelle Kommunikation"
"Akademie der Künste","Academy of Arts","www.adk.de","Sonst. Forschg",10635,"grid.461623.4",
"Akademie der Polizei Hamburg","Hamburg Police Academy","akademie-der-polizei.hamburg.de/","Weitere HS/FS",198255455,"grid.466451.4",
"Akademie der Polizei Hamburg","Hamburg Police Academy","akademie-der-polizei.hamburg.de/","Weitere HS/FS",198255455,"grid.466451.4","Fachhochschulbereich"
"Akademie der Wissenschaften in Hamburg","Academy of Sciences in Hamburg","www.awhamburg.de/","Akad. d. Wiss.",107889613,,
"Akademie der Wissenschaften und der Literatur Mainz","Academy of Sciences and Literature Mainz","www.adwmainz.de/startseite.html","Akad. d. Wiss.",10331,"grid.461597.8","Arbeitsstelle Mittelhochdeutsches Wörterbuch"
"Akademie der Wissenschaften und der Literatur Mainz","Academy of Sciences and Literature Mainz","www.adwmainz.de/startseite.html","Akad. d. Wiss.",10331,"grid.461597.8","Corpus Vitrearum Deutschland 
- Forschungszentrum für Mittelalterliche Glasmalerei"
"Akademie der Wissenschaften und der Literatur Mainz","Academy of Sciences and Literature Mainz","www.adwmainz.de/startseite.html","Akad. d. Wiss.",10331,"grid.461597.8","Deutsche Kommission für die Bearbeitung der Regesta Imperii e.V."
"Akademie der Wissenschaften und der Literatur Mainz","Academy of Sciences and Literature Mainz","www.adwmainz.de/startseite.html","Akad. d. Wiss.",10331,"grid.461597.8","Digitale Akademie"
"Akademie der Wissenschaften und der Literatur Mainz","Academy of Sciences and Literature Mainz","www.adwmainz.de/startseite.html","Akad. d. Wiss.",10331,"grid.461597.8","Geistes- und sozialwissenschaftlichen Klasse"
"Akademie der Wissenschaften und der Literatur Mainz","Academy of Sciences and Literature Mainz","www.adwmainz.de/startseite.html","Akad. d. Wiss.",10331,"grid.461597.8","Gluck-Gesamtausgabe"
"Akademie der Wissenschaften zu Göttingen","Academy of Sciences in Göttingen","adw-goe.de/startseite/","Akad. d. Wiss.",10448,"grid.461599.6",
"Akademie der Wissenschaften zu Göttingen","Academy of Sciences in Göttingen","adw-goe.de/startseite/","Akad. d. Wiss.",10448,"grid.461599.6","Deutsches Wörterbuch von Jacob Grimm und Wilhelm Grimm"
"Akademie der Wissenschaften zu Göttingen","Academy of Sciences in Göttingen","adw-goe.de/startseite/","Akad. d. Wiss.",10448,"grid.461599.6","Digitale Gesamtedition und Übersetzung des koptisch-sahidischen Alten Testaments"
"Akademie der Wissenschaften zu Göttingen","Academy of Sciences in Göttingen","adw-goe.de/startseite/","Akad. d. Wiss.",10448,"grid.461599.6","Enzyklopädie des Märchens"
"Akademie der Wissenschaften zu Göttingen","Academy of Sciences in Göttingen","adw-goe.de/startseite/","Akad. d. Wiss.",10448,"grid.461599.6","Gelehrte Journale und Zeitungen als Netzwerke des Wissens im Zeitalter der Aufklärung"
"Akademie der Wissenschaften zu Göttingen","Academy of Sciences in Göttingen","adw-goe.de/startseite/","Akad. d. Wiss.",10448,"grid.461599.6","Goethe-Wörterbuch"
"Akademie für  Psychotherapie und Interventionsforschung an der Universität Potsdam GmbH","Academy of Psychotherapy and Intervention Research at the University of Potsdam (GmbH)","www.api.uni-potsdam.de/","Sonst. Forschg",27091,,
"Akademie für Islam in Wissenschaft und Gesellschaft (AIWG)","Academy for Islam in Research and Society (AIWG)","aiwg.de","Sonst. Forschg",442400328,,
"Akademie für Manuelle Medizin an der Westfälischen Wilhelms-Universität in Münster","Academy of Manual Medicine","www.manuellemedizin.de","Sonst. Forschg",26173,,
"Akkon-Hochschule für Humanwissenschaften Berlin","Akkon University of Applied Sciences for Human Sciences Berlin","www.akkon-hochschule.de","Weitere HS/FS",210684844,,
"Akkon-Hochschule für Humanwissenschaften Berlin","Akkon University of Applied Sciences for Human Sciences Berlin","www.akkon-hochschule.de","Weitere HS/FS",210684844,,"Institute for Research in International Assistance"
"Alanus Hochschule für Kunst und Gesellschaft Alfter","Alanus University of Arts and Social Sciences Alfter","www.alanus.edu","Musik/Kunst-HS",83596856,"grid.448722.f","Fachbereich Architektur"
"Alanus Hochschule für Kunst und Gesellschaft Alfter","Alanus University of Arts and Social Sciences Alfter","www.alanus.edu","Musik/Kunst-HS",83596856,"grid.448722.f","Fachbereich Bildende Kunst"
"Alanus Hochschule für Kunst und Gesellschaft Alfter","Alanus University of Arts and Social Sciences Alfter","www.alanus.edu","Musik/Kunst-HS",83596856,"grid.448722.f","Fachbereich Bildungswissenschaft"
"Alanus Hochschule für Kunst und Gesellschaft Alfter","Alanus University of Arts and Social Sciences Alfter","www.alanus.edu","Musik/Kunst-HS",83596856,"grid.448722.f","Fachbereich Künstlerische Therapien und Therapiewissenschaft"
"Alanus Hochschule für Kunst und Gesellschaft Alfter","Alanus University of Arts and Social Sciences Alfter","www.alanus.edu","Musik/Kunst-HS",83596856,"grid.448722.f","Fachbereich Wirtschaft"
"Alanus Hochschule für Kunst und Gesellschaft Alfter","Alanus University of Arts and Social Sciences Alfter","www.alanus.edu","Musik/Kunst-HS",83596856,"grid.448722.f","Fachgebiet Eurythmie"
"Alanus Hochschule für Kunst und Gesellschaft Alfter","Alanus University of Arts and Social Sciences Alfter","www.alanus.edu","Musik/Kunst-HS",83596856,"grid.448722.f","Fachgebiet Schauspiel"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Bernstein Center Freiburg"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","CIBSS Centre for Integrative Biological Signalling Studies"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Centre for Security and Society (CSS)"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","FIT Freiburger Zentrum für interaktive Werkstoffe und bioinspirierte Technologien"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Fakultät für Biologie"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Fakultät für Chemie und Pharmazie"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Fakultät für Mathematik und Physik"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Fakultät für Umwelt und Natürliche Ressourcen"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Frankreich-Zentrum"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Freiburg Advanced Center of Education (FACE)"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Freiburg Institute for Advanced Studies (FRIAS)"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Freiburger Materialforschungszentrum (FMF)"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Freiburger Zentrum für Datenanalyse und Modellbildung (FDM)"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Hermann-Paul-Centrum für Linguistik"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Institut für Finanzwissenschaft und Sozialpolitik"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Life Imaging Center"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Medizinische Fakultät"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Philologische Fakultät"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Philosophische Fakultät"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Rechtswissenschaftliche Fakultät"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Technische Fakultät"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Theologische Fakultät"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","University College Freiburg"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Universitätsarchiv"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Universitätsbibliothek"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Universitätsklinikum Freiburg"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Wirtschafts- und Verhaltenswissenschaftliche Fakultät"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Zentrum für Angewandte Biowissenschaften (ZAB)"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Zentrum für Anthropologie und Gender Studies (ZAG)"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Zentrum für Biologische Signalstudien (BIOOS)"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Zentrum für Biosystemanalyse"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Zentrum für Erneuerbare Energien (ZEE)"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Zentrum für Neurowissenschaften"
"Albert-Ludwigs-Universität Freiburg","University of Freiburg","www.uni-freiburg.de/","Universität",10055,"grid.5963.9","Zentrum für Populäre Kultur und Musik"
"Albertus-Magnus-Institut Bonn","Albertus Magnus Institute Bonn","www.albertus-magnus-institut.de/","Sonst. Forschg",20767274,,
"Alemannisches Institut Freiburg im Breisgau e.V.","Alemannic Institute of Freiburg in Breisgau (e.V.)","www.alemannisches-institut.de/","Landesforschung",12899,,
"Alexander von Humboldt Institut für Internet und Gesellschaft (HIIG)","Alexander von Humboldt Institute for Internet and Society (HIIG)","www.hiig.de/","Sonst. Forschg",243312567,"grid.461953.c",
"Alexander von Humboldt Institut für Internet und Gesellschaft (HIIG)","Alexander von Humboldt Institute for Internet and Society (HIIG)","www.hiig.de/","Sonst. Forschg",243312567,"grid.461953.c","Forschungsbereich Internet Policy und Governance"
"Alexander von Humboldt Institut für Internet und Gesellschaft (HIIG)","Alexander von Humboldt Institute for Internet and Society (HIIG)","www.hiig.de/","Sonst. Forschg",243312567,"grid.461953.c","Forschungsbereich Internetbasierte Innovation"
"Alfred Toepfer Akademie für Naturschutz","Alfred Toepfer Academy for Nature Conservation (NNA)","www.nna.niedersachsen.de/portal/live.php?navigation_id=7797&_psmand=27","Sonst. Forschg",236614892,,
"Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute (AWI) Helmholtz Centre for Polar and Marine Research","www.awi.de/","HGF",10189,"grid.10894.34","Arbeitsgruppe Marine Aquakultur"
"Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute (AWI) Helmholtz Centre for Polar and Marine Research","www.awi.de/","HGF",10189,"grid.10894.34","Archiv für deutsche Polarforschung (AdP)"
"Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute (AWI) Helmholtz Centre for Polar and Marine Research","www.awi.de/","HGF",10189,"grid.10894.34","Biologische Anstalt Helgoland (BAH)"
"Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute (AWI) Helmholtz Centre for Polar and Marine Research","www.awi.de/","HGF",10189,"grid.10894.34","Fachbereich Biowissenschaften"
"Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute (AWI) Helmholtz Centre for Polar and Marine Research","www.awi.de/","HGF",10189,"grid.10894.34","Fachbereich Geowissenschaften"
"Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute (AWI) Helmholtz Centre for Polar and Marine Research","www.awi.de/","HGF",10189,"grid.10894.34","Fachbereich Klimawissenschaften"
"Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute (AWI) Helmholtz Centre for Polar and Marine Research","www.awi.de/","HGF",10189,"grid.10894.34","Forschungsstelle Potsdam"
"Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute (AWI) Helmholtz Centre for Polar and Marine Research","www.awi.de/","HGF",10189,"grid.10894.34","Wattenmeerstation Sylt"
"Alice Salomon Hochschule Berlin","Alice Salomon University of Applied Sciences (ASH) Berlin","www.ash-berlin.eu","Weitere HS/FS",12932,"grid.448744.f",
"Alice Salomon Hochschule Berlin","Alice Salomon University of Applied Sciences (ASH) Berlin","www.ash-berlin.eu","Weitere HS/FS",12932,"grid.448744.f","Studiengang Soziale Arbeit"
"Allensbach Hochschule","Allensbach University","www.allensbach-hochschule.de/","Weitere HS/FS",29552,"grid.507504.3",
"Amt für Arbeitsschutz Hamburg","State Department of Occupational Health and Safety Hamburg","www.hamburg.de/arbeitsschutz/","Landesforschung",115711154,,
"Amt für Arbeitsschutz Hamburg","State Department of Occupational Health and Safety Hamburg","www.hamburg.de/arbeitsschutz/","Landesforschung",115711154,,"Fachbereich Arbeitsplatzbeurteilungen"
"Amtliche Materialprüfanstalt","Official Institute for Materials Testing","www.uni-kassel.de/fb14bau/ampa/ampa/startseite.html","Landesforschung",17788,,
"Anwendungszentrum Neuro-Informatik e.V.","Application Centre Neuro-Informatics e.V.","NULL","Sonst. Forschg",972509,,
"Arbeitsgemeinschaft Christliche Archäologie (AGCA) zur Erforschung spätantiker, frühmittelalterlicher und byzantinischer Kultur",,"www.agca.de/","Sonst. Forschg",460487054,,
"Arbeitsgemeinschaft Elektrochemischer Forschungsinstitutionen e.V.","Association of Electrochemical Research Institutions (e.V.)","www.wittstock.chemie.uni-oldenburg.de/agef/kontakt.html","Sonst. Forschg",29446,,
"Arbeitsgemeinschaft Metallguss GmbH (AM)","Cast Metal Association (AM GmbH)","www.arge-metallguss.de/agm/","Sonst. Forschg",981588,,
"Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke e.V. (AiF)","German Federation of Industrial Research Associations - AiF","www.aif.de","Dt. Fördereinrichtg",28465,"grid.453068.c",
"Arbeitsgruppe Umweltstatistik (ARGUS) e. V. an der Technischen Universität Berlin","Study Group for Environmental Statistics  -  ARGUS e.V. at the Berlin University of Technology","argus-ev.eu/","Sonst. Forschg",970800,,
"Arbeitskreis Provenienzforschung e.V.",,"www.arbeitskreis-provenienzforschung.org/","Sonst. Forschg",460092250,,
"Arbeitskreis Wildbiologie an der Justus-Liebig-Universität Gießen e.V.","Working Group Wildlife Biology at the Justus-Liebig-University of Gießen e.V.","www.uni-giessen.de/fbz/fb10/institute_klinikum/zentral/wildbiologie","Sonst. Forschg",13409662,,
"Arbeitskreis für moderne Sozialgeschichte e.V.","Association for Modern Social History (e.V.)","www.ak-moderne-sozialgeschichte.de","Landesforschung",12902,,
"Arbeitsstelle Baden-Württemberg Landeskunde, Landes- und Kommunalpolitik","Baden-Württemberg Office of Area Studies and State and Local Government Policy","www.uni-tuebingen.de/qvr/04/04s06-05.html","Sonst. Forschg",25501,,
"ArcelorMittal Eisenhüttenstadt Forschungs- und Qualitätszentrum GmbH","ArcelorMittal Eisenhüttenstadt Research and Quality Centre GmbH","www.arcelormittal-ehst-fqz.com","Sonst. Forschg",812208,,
"Archivschule Marburg","Archives School Marburg","www.archivschule.de","Weitere HS/FS",980475,,
"Archäologische Staatssammlung München","Archäologische Staatssammlung München","www.archaeologie-bayern.de/","Landesforschung",388886,,
"Archäologisches Landesamt Schleswig-Holstein","State Archaeological Department of Schleswig-Holstein","www.schleswig-holstein.de/DE/Landesregierung/ALSH/alsh_node.html","Landesforschung",20710544,,
"Archäologisches Landesamt Schleswig-Holstein","State Archaeological Department of Schleswig-Holstein","www.schleswig-holstein.de/DE/Landesregierung/ALSH/alsh_node.html","Landesforschung",20710544,,"Archäologisches Landesamt Schleswig-Holstein"
"Arnold-Bergstraesser-Institut für kulturwissenschaftliche Forschung e.V. Freiburg (ABI)","Arnold Bergstraesser Institute for Research in Culture and Civilization (e.V.) Freiburg","www.arnold-bergstraesser.de","Landesforschung",12900,,
"ArtSet Institut für kritische Sozialforschung und Bildungsarbeit e.V.","ArtSet Institute of Critical Social Research and Educational Work (ArtSet Institut e.V.)","www.artset.de/","Sonst. Forschg",102193694,,
"Asklepios Campus Hamburg","Asklepios Campus Hamburg","www.asklepios.com/AMS","Sonst. Forschg",275398513,"grid.491825.3",
"Association of Senior Water Experts (ASWEX) e.V.","Association of Senior Water Experts (ASWEX) e.V.","www.aswex.de","Sonst. Forschg",426554073,,
"AstroGrid-D","AstroGrid-D","www.gac-grid.de/","Sonst. Forschg",56173589,,
"Augustana-Hochschule","Augustana Divinity School","www.augustana.de","Universität",10810,"grid.462035.6",
"Augustana-Hochschule","Augustana Divinity School","www.augustana.de","Universität",10810,"grid.462035.6","Lehrstuhl  Interkulturelle Theologie"
"Augustana-Hochschule","Augustana Divinity School","www.augustana.de","Universität",10810,"grid.462035.6","Lehrstuhl Altes Testament"
"Augustana-Hochschule","Augustana Divinity School","www.augustana.de","Universität",10810,"grid.462035.6","Lehrstuhl Für Praktische Theologie"
"Augustana-Hochschule","Augustana Divinity School","www.augustana.de","Universität",10810,"grid.462035.6","Lehrstuhl Neues Testament"
"Augustana-Hochschule","Augustana Divinity School","www.augustana.de","Universität",10810,"grid.462035.6","Lehrstuhl für Kirchen-, Dogmen und Theologiegeschichte"
"Augustana-Hochschule","Augustana Divinity School","www.augustana.de","Universität",10810,"grid.462035.6","Lehrstuhl für Philosophie"
"Augustana-Hochschule","Augustana Divinity School","www.augustana.de","Universität",10810,"grid.462035.6","Professur für Feministische Theologie"
"Autismus Ostwestfalen-Lippe e.V.","Autism Association 'Autismus Ostwestfalen-Lippe e.V.'","www.autismus-owl.de/","Sonst. Forschg",13552854,,
"BAU Berlin International University of Applied Sciences","BAU Berlin International University of Applied Sciences","www.bauinternational-uni.de","Weitere HS/FS",270753581,,
"BAU Berlin International University of Applied Sciences","BAU Berlin International University of Applied Sciences","www.bauinternational-uni.de","Weitere HS/FS",270753581,,"Fakultät für Betriebswirtschaftslehre"
"BAU Berlin International University of Applied Sciences","BAU Berlin International University of Applied Sciences","www.bauinternational-uni.de","Weitere HS/FS",270753581,,"Fakultät für Design"
"BDG-Service GmbH","BDG-Service GmbH","www.bdg-service.de","Sonst. Forschg",20775878,,
"BIAS - Bremer Institut für Angewandte Strahltechnik GmbH","BIAS - Bremen Institute for Applied Beam Technology","www.bias.de","Landesforschung",10185,"grid.432852.a","Geschäftsbereich Materialbearbeitung und Bearbeitungssysteme"
"BIAS - Bremer Institut für Angewandte Strahltechnik GmbH","BIAS - Bremen Institute for Applied Beam Technology","www.bias.de","Landesforschung",10185,"grid.432852.a","Geschäftsbereich Optische Messtechnik und optoelektronische Systeme"
"BIBA - Bremer Institut für Produktion und Logistik GmbH an der Universität Bremen","BIBA - Bremer Institut für Produktion und Logistik GmbH","www.biba.uni-bremen.de/","Landesforschung",10584,,
"BSP Business School Berlin","BSP Business School Berlin","www.businessschool-berlin.de","Weitere HS/FS",197857576,"grid.466357.5",
"BSP Business School Berlin","BSP Business School Berlin","www.businessschool-berlin.de","Weitere HS/FS",197857576,"grid.466357.5","Fakultät Business and Management"
"Badisches Landesmuseum Karlsruhe","State Museum of Baden Karlsruhe","www.landesmuseum.de/","Landesforschung",12904,"grid.507505.2",
"Baltische Historische Kommission (BHK) e.V.","Baltic Historical Commission (BHK) e.V.","www.balt-hiko.de","Sonst. Forschg",395191329,,
"Bard College Berlin","Bard College Berlin","www.berlin.bard.edu","Weitere HS/FS",232885451,"grid.497287.7",
"Barenboim-Said Akademie","Barenboim-Said Akademie","www.barenboimsaid.de","Musik/Kunst-HS",419338318,,
"Barkhausen Institut gGmbH","Barkhausen Institute","www.barkhauseninstitut.org/","Sonst. Forschg",456272783,,
"Bauhaus Luftfahrt e.V.","Bauhaus Luftfahrt (Aerospace Research Institution)","www.bauhaus-luftfahrt.net/de/","Landesforschung",173504536,,
"Bauhaus-Universität Weimar","Bauhaus-Universität Weimar","www.uni-weimar.de","Universität",10362,"grid.41315.32","Fakultät Architektur und Urbanistik"
"Bauhaus-Universität Weimar","Bauhaus-Universität Weimar","www.uni-weimar.de","Universität",10362,"grid.41315.32","Fakultät Bauingenieurwesen"
"Bauhaus-Universität Weimar","Bauhaus-Universität Weimar","www.uni-weimar.de","Universität",10362,"grid.41315.32","Fakultät Kunst und Gestaltung"
"Bauhaus-Universität Weimar","Bauhaus-Universität Weimar","www.uni-weimar.de","Universität",10362,"grid.41315.32","Fakultät Medien"
"Bauhaus-Universität Weimar","Bauhaus-Universität Weimar","www.uni-weimar.de","Universität",10362,"grid.41315.32","Internationales Kolleg für Kulturtechnikforschung und Medienphilosophie"
"Bauhaus-Universität Weimar","Bauhaus-Universität Weimar","www.uni-weimar.de","Universität",10362,"grid.41315.32","Universitätsbibliothek"
"Bayerische Akademie der Wissenschaften","Bavarian Academy of Sciences and Humanities","www.badw.de/","Akad. d. Wiss.",10138,"grid.423977.c","Forschungsstelle Tibetisches Wörterbuch"
"Bayerische Akademie der Wissenschaften","Bavarian Academy of Sciences and Humanities","www.badw.de/","Akad. d. Wiss.",10138,"grid.423977.c","Historische Kommission"
"Bayerische Akademie der Wissenschaften","Bavarian Academy of Sciences and Humanities","www.badw.de/","Akad. d. Wiss.",10138,"grid.423977.c","Inschriftenkommission"
"Bayerische Akademie der Wissenschaften","Bavarian Academy of Sciences and Humanities","www.badw.de/","Akad. d. Wiss.",10138,"grid.423977.c","Kommissionen der Mathematischnaturwissenschaftlichen Klasse"
"Bayerische Akademie der Wissenschaften","Bavarian Academy of Sciences and Humanities","www.badw.de/","Akad. d. Wiss.",10138,"grid.423977.c","Kommissionen der Philosophisch-historische Klasse"
